Team,G,MP Per Game,FG Per Game,FGA Per Game,3P Per Game,3PA Per Game,2P Per Game,2PA Per Game,FT Per Game,FTA Per Game,ORB Per Game,DRB Per Game,TRB Per Game,AST Per Game,STL Per Game,BLK Per Game,TOV Per Game,PF Per Game,PTS Per Game,Season,MP Total,FG Total,FGA Total,Field Goal %,3P Total,3PA Total,3P%,2P Total,2PA Total,2P%,FT Total,FTA Total,FT%,ORB Total,DRB Total,TRB Total,AST Total,STL Total,BLK Total,TOV Total,PF Total,PTS Total,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,eFG%,TOV%,ORB%,FT/FGA,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Average distance in ft of FGA,% of 2P FGA,% of FGA 0-3 feet from basket,% of FGA 3-10 feet from basket,% of FGA 10-16 feet from basket,% of FGA 16 feet from basket - 3P line,% of 3P FGA,0-3 feet FG%,3-10 feet FG%,10-16 feet FG%,16 feet - 3P FG%,% of 2P's that were assisted,% of 3P's that were assisted,% of FGA that are dunks,Dunks Made,% of corner 3PA,3P% from the corner,champion share,MVP_Shares,Weighted_Share,DPOY_Share,Seasons With Franchise,Seasons Coaching,G (F),W (F),W (PF),L (F),G (Car),W (Car),L (Car),W% (Car),G (PF),L (PF),G (P Car),W (P Car),L (P Car),Total Inactive Days,top 3 conference,rk conference,overall record,over600 rec,curr/past mvp or past fmvp,sum playoff games,Home,Road,L1YP,L3YP,L6YP,L10YP,Last_4_Months,GP (clutch),W (clutch),L (clutch),WIN% (clutch),MIN (clutch),eFG% (clutch),FTA Rate (clutch),TOV% (clutch),OREB% (clutch),Opp eFG% (clutch),Opp FTA Rate (clutch),Opp TOV% (clutch),Opp OREB% (clutch)
Atlanta Hawks,82,242.1,44.6,92.4,10.8,30.5,33.9,61.8,18.5,22.6,11.2,33.2,44.4,25,7.1,4.9,12.9,18.8,118.4,2023,19855,3658,7574,0.483,882,2505,0.352,2776,5069,0.548,1513,1850,0.818,920,2719,3639,2049,580,401,1060,1541,9711,24.9,41,41,42,40,0.29,0.02,0.32,116.6,116.3,0.3,100.7,0.244,0.331,0.579,0.541,11.2,25.1,0.2,0.552,12.4,75.8,0.206,13.2,0.669,0.25,0.186,0.133,0.091,0.331,0.696,0.44,0.486,0.439,0.488,0.755,0.064,450,0.262,0.364,0.125,0,0.001,0.0075,1,9,21,10,2,11,657,382,275,0.581,6,4,57,23,34,151,0,8,17,16,0,16,0.585365854,0.425,0.0625,0.6875,0.8125,1.875,0.533333333,43,20,23,0.465,184,46.5,0.381,11.1,31.4,52.2,0.411,9.8,36.1
Boston Celtics,82,243.7,42.2,88.8,16,42.6,26.2,46.2,17.5,21.6,9.7,35.6,45.3,26.7,6.4,5.2,13.4,18.8,117.9,2023,19980,3460,7278,0.475,1315,3492,0.377,2145,3786,0.567,1436,1769,0.812,796,2921,3717,2186,521,430,1095,1542,9671,27.4,57,25,57,25,6.52,-0.15,6.38,118,111.5,6.5,98.5,0.243,0.48,0.6,0.566,12,22.1,0.197,0.528,11.3,78.5,0.18,15.3,0.52,0.21,0.192,0.063,0.048,0.48,0.732,0.466,0.463,0.39,0.509,0.814,0.051,335,0.223,0.403,0.6875,0.28,2.443,0.46875,1,1,82,57,11,25,82,57,25,0.695,20,9,20,11,9,203,1,2,2,2,0,4,0.775,0.609756098,0.875,1.5625,3.125,3.375,0.666666667,37,24,13,0.649,170,49.3,0.449,10.9,31.7,49.4,0.432,10.8,27.9
Brooklyn Nets,82,240.6,41.5,85.1,12.8,33.8,28.7,51.3,17.7,22.1,8.2,32.3,40.5,25.5,7.1,6.2,13.7,21.1,113.4,2023,19730,3399,6978,0.487,1048,2771,0.378,2351,4207,0.559,1449,1811,0.8,674,2648,3322,2093,585,506,1127,1730,9295,28,45,37,43,39,0.85,0.18,1.03,115,114.1,0.9,98.3,0.26,0.397,0.598,0.562,12.7,19.6,0.208,0.53,12.2,73.7,0.212,14.6,0.603,0.222,0.177,0.122,0.082,0.397,0.701,0.459,0.489,0.494,0.525,0.82,0.059,373,0.243,0.392,0,0,0,0.0625,2,5,85,50,0,35,301,108,193,0.359,8,8,8,0,8,264,0,6,9,23,0,10,0.575,0.536585366,0,0.4375,0.5,1.125,0.466666667,40,24,16,0.6,135,58.3,0.481,11.7,24.4,47.3,0.477,11.8,40.9
Charlotte Hornets,82,241.8,41.3,90.4,10.7,32.5,30.5,57.9,17.6,23.6,11,33.5,44.5,25.1,7.7,5.2,14.2,20.3,111,2023,19830,3385,7413,0.457,881,2669,0.33,2504,4744,0.528,1447,1933,0.749,901,2751,3652,2062,634,425,1164,1661,9098,25.3,27,55,26,56,-6.24,0.35,-5.89,109.2,115.3,-6.1,100.8,0.261,0.36,0.55,0.516,12.3,23.8,0.195,0.544,12.5,75.5,0.211,13.1,0.64,0.287,0.208,0.087,0.058,0.36,0.688,0.384,0.439,0.385,0.536,0.817,0.073,482,0.261,0.354,0,0,0,0,6,9,492,223,3,269,719,319,400,0.444,11,8,21,5,16,195,0,14,27,27,0,26,0.317073171,0.325,0,0,0,0.1875,0.363636364,43,20,23,0.465,163,50,0.413,10.8,34.6,54.8,0.476,9.9,26.6
Chicago Bulls,82,242.7,42.5,86.8,10.4,28.9,32.1,57.9,17.6,21.8,8.5,33.9,42.4,24.5,7.9,4.5,13.4,18.9,113.1,2023,19905,3488,7116,0.49,854,2367,0.361,2634,4749,0.555,1446,1788,0.809,694,2779,3473,2006,644,371,1097,1551,9276,27.5,40,42,44,38,1.29,0.07,1.37,113.5,112.2,1.3,98.5,0.251,0.333,0.587,0.55,12.2,20.1,0.203,0.544,13.5,77.8,0.197,13.6,0.667,0.281,0.146,0.116,0.125,0.333,0.683,0.474,0.464,0.446,0.474,0.886,0.054,329,0.262,0.397,0,0,0.003,0.625,3,8,236,117,1,119,636,360,276,0.566,5,4,46,19,27,204,0,10,19,10,0,20,0.525,0.43902439,0.0625,0.0625,0.1875,0.9375,0.511111111,38,15,23,0.395,178,49.8,0.445,10.6,22.4,51.7,0.455,15.3,29.4
Cleveland Cavaliers,82,242.4,41.6,85.2,11.6,31.6,30,53.6,17.5,22.5,9.7,31.4,41.1,24.9,7.1,4.7,13.3,19,112.3,2023,19880,3408,6984,0.488,950,2589,0.367,2458,4395,0.559,1439,1844,0.78,795,2574,3369,2045,586,384,1094,1560,9205,25.4,51,31,55,27,5.38,-0.15,5.23,116.1,110.6,5.5,95.7,0.264,0.371,0.59,0.556,12.3,23.6,0.206,0.535,14.4,76.3,0.21,13.2,0.629,0.278,0.196,0.092,0.054,0.371,0.717,0.44,0.45,0.378,0.545,0.715,0.084,536,0.238,0.367,0.0625,0.03,1.047,0.6675,4,7,247,122,1,125,463,207,256,0.447,5,4,10,2,8,432,0,4,5,5,0,12,0.775,0.487804878,0,0,1.5625,3.4375,0.636363636,45,24,21,0.533,170,48.6,0.407,14,37.2,44.6,0.44,14,34.4
Dallas Mavericks,82,243,40,84.3,15.2,41,24.8,43.3,19,25.1,7.6,31.2,38.8,22.9,6.3,3.7,12.2,20.7,114.2,2023,19930,3283,6909,0.475,1246,3362,0.371,2037,3547,0.574,1554,2057,0.755,625,2556,3181,1880,514,304,1002,1697,9366,27.8,38,44,41,41,0.07,-0.22,-0.14,116.8,116.7,0.1,96.6,0.298,0.487,0.599,0.565,11.4,18,0.225,0.549,11.9,75.5,0.226,15.6,0.513,0.218,0.169,0.08,0.046,0.487,0.708,0.499,0.47,0.396,0.448,0.776,0.05,304,0.271,0.403,0,0.01,1.612,0,2,7,164,90,9,74,537,273,264,0.508,18,9,42,18,24,251,0,11,21,25,0,11,0.575,0.365853659,0.5625,0.875,0.875,1.1875,0.386363636,55,26,29,0.473,230,49.7,0.474,10.5,27.7,46.6,0.476,10,31.4
Denver Nuggets,82,240.9,43.6,86.4,11.8,31.2,31.8,55.2,16.8,22.4,10.1,32.9,43,28.9,7.5,4.5,14.5,18.6,115.8,2023,19755,3574,7088,0.504,969,2559,0.379,2605,4529,0.575,1378,1834,0.751,828,2699,3527,2368,618,368,1192,1525,9495,26.6,53,29,49,33,3.33,-0.29,3.04,117.6,114.2,3.4,98.1,0.259,0.361,0.601,0.573,13.1,24.8,0.194,0.543,12.2,76.4,0.201,13.2,0.639,0.258,0.213,0.083,0.077,0.361,0.758,0.477,0.401,0.421,0.597,0.808,0.08,509,0.251,0.407,1,0.674,1.092,0.0025,8,10,637,367,37,270,743,406,337,0.546,68,31,68,37,31,241,1,1,4,1,1,9,0.825,0.463414634,0.0625,0.875,1.3125,1.4375,0.630434783,37,22,15,0.595,142,51.8,0.605,13.1,30.8,46.5,0.368,14.7,32.5
Detroit Pistons,82,241.5,39.6,87.1,11.4,32.4,28.2,54.6,19.8,25.7,11.2,31.3,42.4,23,7,3.8,15.1,22.1,110.3,2023,19805,3244,7140,0.454,934,2659,0.351,2310,4481,0.516,1623,2106,0.771,916,2564,3480,1884,574,308,1237,1813,9045,24.1,17,65,22,60,-8.22,0.49,-7.73,110.7,118.9,-8.2,99,0.295,0.372,0.561,0.52,13.3,24.9,0.227,0.557,11.9,74,0.231,13.8,0.628,0.217,0.224,0.111,0.068,0.372,0.677,0.431,0.432,0.413,0.466,0.832,0.06,396,0.264,0.372,0,0,0,0,5,14,384,121,0,263,1064,494,570,0.464,4,4,55,21,34,243,0,15,30,30,0,21,0.219512195,0.2,0,0,0,0,0.166666667,37,11,26,0.297,144,45.8,0.516,11.1,30.5,49.8,0.613,9,43
Golden State Warriors,82,241.8,43.1,90.2,16.6,43.2,26.5,47,16,20.2,10.5,34.1,44.6,29.8,7.2,3.9,16.3,21.4,118.9,2023,19830,3538,7393,0.479,1363,3540,0.385,2175,3853,0.564,1314,1655,0.794,864,2793,3657,2446,588,323,1336,1757,9753,27.3,44,38,45,37,1.8,-0.15,1.66,116.1,114.4,1.7,101.6,0.224,0.479,0.6,0.571,14.1,24.4,0.178,0.54,12.3,76,0.214,16,0.521,0.177,0.21,0.069,0.065,0.479,0.71,0.54,0.407,0.413,0.606,0.828,0.056,374,0.199,0.395,0.375,0.005,0.564,0.33375,9,9,711,473,99,238,711,473,238,0.665,140,41,140,99,41,304,0,5,11,5,1,2,0.804878049,0.25,1,1,3.875,6.375,0.545454545,41,20,21,0.488,173,48.1,0.26,14.7,34.2,47.6,0.356,10.9,24.1
Houston Rockets,82,240.9,40.6,88.9,10.4,31.9,30.2,56.9,19.1,25.3,13.4,32.9,46.3,22.4,7.3,4.6,16.2,20.5,110.7,2023,19755,3329,7287,0.457,856,2619,0.327,2473,4668,0.53,1567,2078,0.754,1100,2695,3795,1835,600,374,1332,1679,9081,22.1,22,60,23,59,-7.85,0.24,-7.62,111.4,119.3,-7.9,99,0.285,0.359,0.554,0.516,14,30.2,0.215,0.564,11.8,75.8,0.218,13,0.641,0.259,0.262,0.07,0.049,0.359,0.678,0.436,0.448,0.366,0.477,0.766,0.084,523,0.173,0.361,0,0,0,0,3,3,236,59,0,177,236,59,177,0.25,0,0,0,0,0,152,0,14,28,25,0,29,0.341463415,0.175,0,0.3125,1.75,2.625,0.244444444,40,16,24,0.4,132,43.4,0.637,18.7,32.7,46.6,0.428,12.6,26.7
Indiana Pacers,82,240.9,42,89.6,13.6,37,28.4,52.6,18.7,23.7,10.1,31.4,41.5,27,7.7,5.8,14.9,21.2,116.3,2023,19755,3444,7345,0.469,1112,3030,0.367,2332,4315,0.54,1535,1944,0.79,832,2575,3407,2213,631,478,1225,1741,9535,24.5,35,47,33,49,-3.18,0.28,-2.91,114.6,117.7,-3.1,101.1,0.265,0.413,0.581,0.545,13,23.4,0.209,0.554,13,72.2,0.229,13.9,0.587,0.266,0.189,0.08,0.045,0.413,0.679,0.425,0.414,0.402,0.547,0.817,0.048,323,0.224,0.386,0,0,0.001,0.005,6,21,492,241,18,251,1689,896,793,0.53,35,17,133,63,70,245,0,12,23,28,0,23,0.487804878,0.35,0,0,0.1875,1.6875,0.318181818,48,25,23,0.521,165,48.6,0.45,11.3,30.8,47.6,0.633,12.1,34.8
Los Angeles Clippers,82,241.8,41.1,86.1,12.7,33.4,28.4,52.7,18.7,23.9,9.8,33.4,43.2,23.9,7.1,4.4,14.2,19.5,113.6,2023,19830,3370,7059,0.477,1041,2735,0.381,2329,4324,0.539,1533,1962,0.781,803,2742,3545,1959,580,364,1167,1598,9314,29.7,44,38,42,40,0.5,-0.19,0.31,115,114.5,0.5,98,0.278,0.387,0.588,0.551,12.8,22.9,0.217,0.543,11.7,76.6,0.195,14.5,0.613,0.221,0.19,0.11,0.092,0.387,0.692,0.475,0.45,0.408,0.467,0.838,0.063,391,0.249,0.406,0.0625,0,0.016,0.005,3,7,236,133,11,103,447,261,186,0.584,24,13,85,52,33,257,0,5,11,21,1,3,0.56097561,0.5,0,1.0625,1.375,2.4375,0.511627907,42,22,20,0.524,140,54.6,0.481,11.9,28.5,53.7,0.448,10.7,22.4
Los Angeles Lakers,82,242.4,42.9,89,10.8,31.2,32.1,57.8,20.6,26.6,10,35.7,45.7,25.3,6.4,4.6,14.1,17.9,117.2,2023,19880,3516,7298,0.482,885,2558,0.346,2631,4740,0.555,1691,2182,0.775,818,2930,3748,2072,526,378,1154,1466,9608,27.9,43,39,42,40,0.57,-0.15,0.43,114.5,113.9,0.6,101.3,0.299,0.351,0.582,0.542,12.3,22.8,0.232,0.535,10.9,76.3,0.171,13.2,0.649,0.261,0.214,0.095,0.079,0.351,0.728,0.46,0.425,0.397,0.502,0.849,0.065,429,0.238,0.369,0.5,0,0.227,0.0225,1,1,82,43,8,39,82,43,39,0.524,16,8,16,8,8,244,0,7,14,16,1,8,0.55,0.487804878,0,1.125,1.125,1.125,0.6,44,23,21,0.523,172,50.8,0.433,5.3,29.9,50.2,0.385,10.1,31.6
Memphis Grizzlies,82,241.2,43.7,92.1,12,34.2,31.7,57.9,17.5,23.8,12,34.6,46.6,26,8.3,5.8,13.6,20,116.9,2023,19780,3585,7551,0.475,985,2807,0.351,2600,4744,0.548,1432,1954,0.733,988,2835,3823,2135,680,473,1116,1643,9587,24.4,51,31,51,31,3.94,-0.34,3.6,115.1,111.2,3.9,101.1,0.259,0.372,0.57,0.54,11.7,26.5,0.19,0.526,13.1,75.9,0.206,13,0.628,0.273,0.224,0.099,0.033,0.372,0.688,0.446,0.447,0.386,0.504,0.837,0.058,387,0.245,0.376,0.125,0.001,0.055,1.18,4,4,309,179,9,130,309,179,130,0.579,23,14,23,9,14,433,1,2,5,8,0,17,0.853658537,0.4,0.375,0.4375,0.5625,1.625,0.630434783,36,21,15,0.583,110,48.2,0.702,12.5,39.5,53.5,0.471,11.3,31.4
